side,cluster,cluster_name,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,OID_,GEOID10_1,STATEFP1_1,COUNTYFP_1,TRACTCE1_1,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,POP_HH,POP_GQ_INS,POP_GQ_NON,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,GEOJOIN,TractOK,Geoid,Shape_Length,Shape_Area
South/Southwest,4,SW Chicago,45,17,31,660500,17031660500,6605,Census Tract 6605,G5020,S,659363,0,41.7752434,-87.7079432,590,17031660500,17,31,660500,5534,2444,667,49,29,0,2205,140,4397,2814,2720,499,1398,353,710,869,685,654,366,27.9,27.4,28.3,5367,0,167,1309,4.1,112,129,451,215,66,136,1023,4.6,1432,123,693,616,17031660500,660500,17031660500,10652.25237,7097352.976
South/Southwest,4,SW Chicago,46,17,31,340300,17031340300,3403,Census Tract 3403,G5020,S,213694,0,41.8428085,-87.635791,391,17031340300,17,31,340300,1786,378,18,1,1343,0,24,22,86,873,913,76,235,93,232,219,244,346,341,41.3,39.8,42.9,1786,0,0,686,2.6,82,115,128,205,7,28,436,3.26,735,49,310,376,17031340300,340300,17031340300,8189.4782,2300294.307
South/Southwest,4,SW Chicago,47,17,31,340400,17031340400,3404,Census Tract 3404,G5020,S,290257,0,41.841885,-87.6320352,392,17031340400,17,31,340400,1900,330,33,6,1466,0,41,24,93,972,928,79,256,119,344,259,282,360,201,35.6,32.3,38.8,1897,0,3,695,2.73,75,97,153,166,9,27,442,3.37,755,60,244,451,17031340400,340400,17031340400,7665.956273,3124367.594
South/Southwest,4,SW Chicago,48,17,31,340500,17031340500,3405,Census Tract 3405,G5020,S,435449,0,41.8345181,-87.6329169,393,17031340500,17,31,340500,1544,773,212,9,486,0,38,26,146,791,753,49,90,95,268,139,157,245,501,48.1,40.5,58.3,1544,0,0,860,1.8,196,258,54,165,10,15,310,2.65,918,58,181,679,17031340500,340500,17031340500,9043.108883,4687262.089
South/Southwest,4,SW Chicago,49,17,31,660800,17031660800,6608,Census Tract 6608,G5020,S,655389,0,41.7736413,-87.6932656,593,17031660800,17,31,660800,5865,838,3617,32,14,2,1253,109,1915,2742,3123,462,1384,405,772,830,763,828,421,29.1,28.6,29.5,5865,0,0,1801,3.26,213,213,280,268,63,341,1289,3.86,2154,353,660,1141,17031660800,660800,17031660800,13334.9669,7054651.387
South/Southwest,4,SW Chicago,50,17,31,351500,17031351500,3515,Census Tract 3515,G5020,S,168880,0,41.8272742,-87.6277462,400,17031351500,17,31,351500,255,36,197,1,20,0,0,1,3,117,138,10,52,41,46,33,28,34,11,26.4,24.4,29.7,255,0,0,100,2.55,15,21,4,10,1,19,52,3.42,144,44,23,77,17031351500,351500,17031351500,6668.483381,1817853.844
South/Southwest,4,SW Chicago,51,17,31,570300,17031570300,5703,Census Tract 5703,G5020,S,980170,0,41.8041449,-87.7307909,529,17031570300,17,31,570300,6116,3214,55,35,28,0,2597,187,4835,3118,2998,558,1359,385,815,1027,679,804,489,29.5,28.8,30.4,6110,0,6,1675,3.65,131,153,531,331,75,171,1341,4.06,1858,183,938,737,17031570300,570300,17031570300,13496.13826,10550587.81
South/Southwest,4,SW Chicago,52,17,31,570500,17031570500,5705,Census Tract 5705,G5020,S,423602,0,41.7986015,-87.7324553,531,17031570500,17,31,570500,2462,1474,43,26,13,0,835,71,1747,1247,1215,203,490,130,333,422,311,339,234,31.7,31,32.6,2462,0,0,711,3.46,61,68,188,157,24,59,545,3.91,774,63,378,333,17031570500,570500,17031570500,11296.33306,4559640.361
South/Southwest,4,SW Chicago,53,17,31,580100,17031580100,5801,Census Tract 5801,G5020,S,763546,0,41.8280541,-87.690745,532,17031580100,17,31,580100,2989,1479,66,9,414,1,902,118,2229,1540,1449,249,667,189,405,461,371,415,232,29.6,28.7,30.5,2989,0,0,836,3.58,75,68,260,174,32,76,655,4.03,951,115,433,403,17031580100,580100,17031580100,12456.07352,8218844.878
South/Southwest,4,SW Chicago,54,17,31,580200,17031580200,5802,Census Tract 5802,G5020,S,729816,0,41.8267718,-87.6993478,533,17031580200,17,31,580200,3515,1525,64,30,275,0,1476,145,2900,1756,1759,310,859,219,433,563,468,473,190,28.9,28.6,29.2,3515,0,0,911,3.86,66,52,321,181,35,93,753,4.22,1013,102,485,426,17031580200,580200,17031580200,11425.118,7855846.795
